uid,item,amount
2185,101002,1
2186,101003,1
2187,102002,1
2188,111002,1
2189,101002,1
2190,104003,1
2191,101001,1
2192,111001,1
2193,111003,1
2194,101002,1
2194,104002,1
2195,101003,1
2196,104003,1
2197,111006,1
2198,101003,1
2198,104002,1
2199,104004,1
2200,101002,1
2201,113003,1
2202,101004,1
2203,101002,2
2203,101003,1
2204,137004,1
2204,104004,3
2205,112004,1
2206,104004,1
2206,113003,1
2207,111004,1
2207,111003,1
2208,106004,1
2209,128004,1
2210,101007,1
2210,106004,1
2211,111006,1
2211,104004,2
2212,106003,1
2213,127001,1
2214,101006,1
2214,106002,1
2215,122003,1
2216,128004,1
2217,122003,1
2218,122003,1
2218,111001,1
2219,127002,1
2220,106005,1
2221,102002,2
2222,122003,1
2223,111004,1
2224,101002,1
2225,128003,1
2226,137004,1
2227,122005,1
2228,127003,1
2228,153002,1
2229,111006,1
2229,136004,1
2230,138004,1
2231,106005,1
2231,153003,1
2232,122005,1
2233,104004,1
2234,127004,1
2234,162003,1
2235,104004,2
2235,111003,1
2236,113003,1
2237,128005,1
2237,153004,1
2238,161003,1
2238,136004,1
2239,122005,1
2240,138004,1
2241,122005,1
2241,137004,1
2242,111004,1
2243,101002,1
2243,111001,1
2244,104004,1
2244,101004,1
2245,111005,1
2246,112004,2
2247,113003,1
2248,122003,1
2249,122005,1
2249,111006,1
2250,111001,1
2251,101002,1
2251,101003,1
2252,104004,1
2253,111004,1
2254,161003,1
2255,106004,1
2255,102002,1
2256,101007,1
2257,122005,1
2258,111004,1
2258,153002,1
2259,111008,1
2260,104004,2
2261,111004,1
2262,104004,1
2263,101004,1
2264,111003,1
2265,113003,3
2266,102002,1
2266,137004,2
2267,102002,1
2267,112004,2
2268,106007,1
2268,153006,1
2269,128006,1
2269,153006,1
2270,101006,1
2270,136004,1
2271,111006,1
2271,137004,1
2272,104004,1
2273,104004,1
2273,112004,1
2274,162003,2
2275,161003,1
2276,106005,1
2277,162003,2
2277,102002,1
2278,137004,1
2279,136004,2
2280,101005,1
2281,111004,1
2282,104004,2
2283,111005,1
2284,104004,1
2285,113003,1
2286,112004,3
2287,111008,1
2287,102002,1
2288,113003,2
2288,101008,1
2289,112004,3
2289,111007,1
2290,138004,2
2290,101006,1
2291,111005,1
2292,137004,2
2293,101007,1
2294,101005,1
2294,111002,1
2295,138004,1
2296,101006,1
2297,101007,1
2298,128004,1
2298,136004,1
2299,162003,3
2299,161003,1
2300,106006,1
2301,138004,1
2301,111010,1
2302,161003,1
2303,162003,3
2304,161003,1
2304,128002,1
2305,162003,3
2305,106004,1
2306,111004,1
2307,136004,3
2307,104004,2
2308,137004,1
2309,138004,1
2310,102002,1
2310,111008,1
2311,128003,1
2312,111007,1
2313,101013,1
2314,106007,1
2314,153005,1
2315,128006,1
2315,161003,1
2316,122005,1
2317,111006,1
2318,122005,2
2319,111008,1
2320,122005,1
2320,111001,1
2321,122005,2
2322,106006,1
2322,136004,1
2323,128003,1
2323,161003,2
2324,161003,3
2324,113003,1
2325,104004,3
2326,111006,1
2327,113003,2
2328,104004,2
2329,128005,1
2329,112004,1
2330,101004,1
2331,111008,1
2332,122005,3
2333,111005,1
2334,122005,1
2335,104004,2
2336,106005,1
2336,104004,1
2337,104004,3
2338,136004,1
2338,112004,1
2339,128004,1
2339,111006,1
2340,106007,1
2340,153007,1
2341,137004,2
2342,111007,1
2342,102002,1
2343,104004,2
2344,101005,1
2345,111006,1
2345,104004,2
2346,122005,4
2347,101009,1
2347,153004,1
2348,122005,2
2349,111008,1
2349,122005,3
2350,104004,4
2351,101007,1
2352,122005,3
2353,101007,1
2354,111008,1
2354,138004,1
2355,136004,1
2355,162003,3
2356,128006,1
2356,153007,1
2357,137004,2
2358,101007,1
2358,161003,1
2359,138004,1
2360,106005,1
2361,138004,2
2361,102002,1
2362,111007,1
2363,101006,1
2364,111008,1
2365,104004,2
2366,106006,1
2366,104004,3
2367,122005,4
2367,161003,2
2368,104004,3
2368,137004,3
2369,111007,1
2370,101008,1
2371,136004,3
2371,161003,4
2372,111010,1
2372,162003,4
2373,161003,3
2374,102002,1
2374,101006,1
2375,136004,3
2375,104004,4
2376,137004,3
2377,138004,3
2378,102002,2
2378,113003,2
2379,112004,3
2379,136004,3
2380,113003,2
2380,111008,1
2381,161003,4
2381,162003,4
2382,111009,1
2382,104004,4
2383,101007,1
2383,102002,1
2384,128006,1
2384,113003,2
2385,101008,1
2385,102002,1
2386,106008,1
2386,153007,1
